Stock,Interval,Period,Start Time,End Time,Sharpe Ratio
AAPL,5m,1d,2024-09-18 12:15:00-04:00,2024-11-15 15:55:00-05:00,0.5461087814359523
AAPL,15m,1d,2024-09-24 11:15:00-04:00,2024-11-20 15:45:00-05:00,0.4658902427527718
AAPL,1d,1y,2024-01-10 00:00:00-05:00,2024-11-21 00:00:00-05:00,0.10685499898356665
AMZN,5m,1d,2024-09-18 12:15:00-04:00,2024-11-15 15:55:00-05:00,0.7554684720540519
AMZN,15m,1d,2024-09-24 11:15:00-04:00,2024-11-20 15:45:00-05:00,-0.5100711544320323
AMZN,1d,1y,2024-01-10 00:00:00-05:00,2024-11-21 00:00:00-05:00,1.5573570479543941
PLTR,5m,1d,2024-09-23 12:15:00-04:00,2024-11-19 10:10:00-05:00,0.8891482756600871
PLTR,15m,1d,2024-09-24 11:15:00-04:00,2024-11-20 15:45:00-05:00,1.281548403875037
PLTR,1d,1y,2024-01-10 00:00:00-05:00,2024-11-21 00:00:00-05:00,1.0328549783282672
VVV,5m,1d,2024-09-23 12:15:00-04:00,2024-11-20 11:25:00-05:00,-0.2809863802679605
VVV,15m,1d,2024-09-24 11:15:00-04:00,2024-11-20 15:45:00-05:00,-0.8273700426137632
VVV,1d,1y,2024-01-10 00:00:00-05:00,2024-11-21 00:00:00-05:00,0.6332744158788658
